date,name,type
2019-01-01,New Year's Day,Public Holiday
2019-01-06,Epiphany,Public Holiday
2019-01-07,Epiphany (in lieu),Regional Holiday
2019-03-19,Father's Day,Not A Public Holiday
2019-04-18,Holy Thursday,Regional Holiday
2019-04-19,Good Friday,Public Holiday
2019-05-01,Labour Day,Public Holiday
2019-05-05,Mother's Day,Not A Public Holiday
2019-08-12,Eid El Kebir,Regional Holiday
2019-08-15,Assumption Day,Public Holiday
2019-09-17,Day of Melilla,Regional Holiday
2019-10-12,Hispanic Day,Public Holiday
2019-11-01,All Saints' Day,Public Holiday
2019-12-06,Constitution Day,Public Holiday
2019-12-08,Immaculate Conception Day,Public Holiday
2019-12-09,Immaculate Conception Holiday,Regional Holiday
2019-12-25,Christmas Day,Public Holiday
2018-01-01,New Year's Day,Public Holiday
2018-01-06,Epiphany,Public Holiday
2018-03-19,Father's Day,Not A Public Holiday
2018-03-29,Holy Thursday,Regional Holiday
2018-03-30,Good Friday,Public Holiday
2018-05-01,Labour Day,Public Holiday
2018-05-06,Mother's Day,Not A Public Holiday
2018-08-15,Assumption Day,Public Holiday
2018-08-22,Eid El Kebir,Regional Holiday
2018-09-17,Day of Melilla,Regional Holiday
2018-10-12,Hispanic Day,Public Holiday
2018-11-01,All Saints' Day,Public Holiday
2018-12-06,Constitution Day,Public Holiday
2018-12-08,Immaculate Conception Day,Public Holiday
2018-12-25,Christmas Day,Public Holiday
2017-01-01,New Year's Day,Public Holiday
2017-01-02,New Year's Day (in lieu),Regional Holiday
2017-01-06,Epiphany,Public Holiday
2017-03-19,Father's Day,Not A Public Holiday
2017-03-19,St. Joseph's Day,Regional Holiday
2017-04-13,Holy Thursday,Regional Holiday
2017-04-14,Good Friday,Public Holiday
2017-05-01,Labour Day,Public Holiday
2017-05-07,Mother's Day,Not A Public Holiday
2017-08-15,Assumption Day,Public Holiday
2017-09-01,Eid El Kebir,Regional Holiday
2017-10-12,Hispanic Day,Public Holiday
2017-11-01,All Saints' Day,Public Holiday
2017-12-06,Constitution Day,Public Holiday
2017-12-08,Immaculate Conception Day,Public Holiday
2017-12-25,Christmas Day,Public Holiday
2016-01-01,New Year's Day,Public Holiday
2016-01-06,Epiphany,Public Holiday
2016-03-19,Father's Day,Not A Public Holiday
2016-03-24,Holy Thursday,Regional Holiday
2016-03-25,Good Friday,Public Holiday
2016-05-01,Labour Day,Public Holiday
2016-05-01,Mother's Day,Not A Public Holiday
2016-08-15,Assumption Day,Public Holiday
2016-09-12,Eid El Kebir,Regional Holiday
2016-09-17,Day of Melilla,Regional Holiday
2016-10-12,Hispanic Day,Public Holiday
2016-11-01,All Saints' Day,Public Holiday
2016-12-06,Constitution Day,Public Holiday
2016-12-08,Immaculate Conception Day,Public Holiday
2016-12-25,Christmas Day,Public Holiday
2016-12-26,Christmas Day (in lieu),Regional Holiday
2015-01-01,New Year's Day,Public Holiday
2015-01-06,Epiphany,Public Holiday
2015-03-19,Father's Day,Not A Public Holiday
2015-03-19,St. Joseph's Day,Regional Holiday
2015-04-02,Holy Thursday,Regional Holiday
2015-04-03,Good Friday,Public Holiday
2015-05-01,Labour Day,Public Holiday
2015-05-03,Mother's Day,Not A Public Holiday
2015-09-08,Feast of Our Lady of Victories,Regional Holiday
2015-09-17,Day of Melilla,Regional Holiday
2015-09-25,Eid El Kebir,Regional Holiday
2015-10-12,Hispanic Day,Public Holiday
2015-11-01,All Saints' Day,Public Holiday
2015-12-06,Constitution Day,Public Holiday
2015-12-07,Constitution Day Holiday (in lieu),Regional Holiday
2015-12-08,Immaculate Conception Day,Public Holiday
2015-12-25,Christmas Day,Public Holiday
